,id,article,label
0,10909,"article 7. - le conseil des professeurs il est placé sous la présidence du chef de l'établissement.le directeur des etudes, les professeurs titulaires, les agents vacataires ou décisionnaires ensont membres de droit.le conseil des professeurs se réunit en dehors des heures de classe.les réunions sont convoquées par le président au moins une semaine à l'avance, avecindication de l'ordre du jour. des réunions extraordinaires ont lieu lorsque les circonstancesl'exigent, sur convocation du président. le conseil des professeurs émet des avis sur les modifications à apporter dans lesprogrammes d'enseignement et sur l'application des circulaires et des instructionsministérielles.il donne son avis sur les manuels et matériels à adopter pour chaque branched'enseignement ainsi que sur la documentation à mettre à la disposition des professeurs.le chef de l'établissement présente, au conseil de perfectionnement, les propositions etrecommandations qui ont été émises par le conseil des professeurs.",Not Zone
1,571,"article 3. — les ouvrages ou installations sont régulièrement enire- ténus dé manière à garantir le bon fonclionnement :— des dispositifs de rejets (y cammpris les canalisations situées surl'estran) et de traitement qui s'avéreraient nécessaires pour laprotection de la ressource en eau el des milieux aquatiques defaçon à ce que le rejer reste conforme aux prescriptions ou auxvaleurs annoncées dans le dossier de déclaration ;des moyens destinés à la surveillance ct à l'évalualion desdéversements, notamment ceux prévus par l'article l. 214-8 ducode de l'environnement el au suivi du milieu aquatique. chapitre ildispositions techniques spécifiquessection 1conditions de conception, d'implantation et de réalisation",Not Zone
2,10509,"article l. 365-1. - la responsabilité civile ou administrative des propriétaires de terrains, de la commune, de l'état ou de l'organe de gestion de l'espace naturel, à l'occasion d'accidents survenus dans le coeur d'un parc national,dans une réserve naturelle, sur un domaine relevant du conservatoire de l'espace littoral et des rivages lacustresou sur les voies et chemins visés à l'article l. 361-1, à l'occasion de la circulation des piétons ou de la pratiqued'activités de loisirs, est appréciée au regard des risques inhérents à la circulation dans des espaces naturelsayant fait l'objet d'aménagements limités dans le but de conservation des milieux, et compte tenu des mesuresd'information prises, dans le cadre de la police de la circulation, par les autorités chargées d'assurer la sécuritépublique.",Not Zone
3,2572,"article 23. le conseil d'administration ne peut délibérer valablement que si la moitié au moins de ses membres est présente.les décisions sont prises à la majorité simple des membres présents.en cas de partage égal des voix, celle du président est prépondérante.",Not Zone
4,36,"article 14. - sur la base du compte rendu de reconnaissance et en fonction de la gravité et de l'importance du sinistre, le centre des opérations compétent déclenche l'alerte à son niveau suivant que l'événementse situe au niveau d'une zone maritime, d'une région ou de plusieurs régions maritimes et informeimmédiatement le wali territorialement compétent ainsi que le président du comité """"tel bahr"""" nationalet le président du comité """"tel bahr"""" concerné",Not Zone
5,1399,"article 50 : nettoyage et remise en état des lieux après travaux et opérations d'une manière générale, l'usager qui aura procédé à des opérations ou l'entreprise qui aura effectué des travaux sur terre-pleins, en magasin cale ou en entrepôts administratifsou en tout autre lieu du domaine portuaire est tenu de faire nettoyer les surfaces correspondantes et de remettre les lieux en état.les ordures, matériaux et débris doivent être rassemblés dans les parcs prévus à cet effet ou dans des caisses métalliques d'un modèle agréé par l'administration du port.après injonction verbale ou mise en demeure sans effet, l'administration du port peut se substituer aux défaillants et faire procéder aux opérations de nettoyage et deréparation à leurs frais et risques.5. usage des voies ferrees",Not Zone
6,155,"article 11.8 ler. le receveur établit un rapport d'enquête sur les épaves en vue de les assimiler à du patrimoine culturel subaquatique et, le cas échéant, de les protéger in situ.le ministre peut décider d'assimiler l'épave à du patrimoine culturel subaquatique. dès l'instant où l'épave estimmergée depuis 100 ans, elle devient patrimoine culturel subaquatique indépendamment du fait qu'elle ait été ounon assimilée au préalable à du patrimoine culturel subaquatique.le roi détermine les modalités et le contenu du rapport d'enquête et les critères auxquels l'épave doit répondreafin d'être assimilée au patrimoine culturel subaquatique.8 2. le ministre peut assimiler une épave au patrimoine culturel subaquatique sans établissement d'un rapportd'enquête, si le ministre juge qu'il y a suffisamment de raisons impératives.8 3. après avis de la commission consultative visé à l'article 5bis, § 3, de la loi du 20 janvier 1999 visant laprotection du milieu marin et l'organisation de l'aménagement des espaces marins sous juridiction de la belgique,le ministre peut prendre des mesures individuelles nécessaires pour là protection des épaves moyennant uneévaluation de tout l'impact possible de ces mesures sur les activités alentours.8 4. l'article 8 s'applique aux épaves assimilées au patrimoine culturel subaquatique et qui ont été protégées insitu.chapitre 4. - dispositions communes",Not Zone
7,14159,"article 169.1. sans préjudice des dispositions relatives au droit de passage inoffensif, les agents peuvent, dans la mer territoriale belge, visiter les navires et exiger la présentation des connaissements et autres papiers de bord relatifs à la cargaison, en vue de vérifier si les marchandises à bord sont conformes aux les réglementations ou mesures douanières et accises interdisant, restreignant ou contrôlant les importations, les exportations ou le transit et peuvent signaler les violations des dispositions susmentionnées.2. au sens du présent article, le mot """"navire"""" s'entend de tout navire ou de tout équipement de quelque nature que ce soit, y compris les bateaux à fond plat et les hydravions utilisés ou susceptibles d'être utilisés comme moyen de transport sur l'eau, ou fixe ou plates-formes flottantes. chapitre ix modifications du code judiciaire",Not Zone
8,13726,"article 284 bis : tout associé ou associés détenant au moins 5 % ducapital d’une société anonyme ne faisant pas appel public al’épargne, ou 3 % du capital d’une société anonyme faisantappel public à l’épargne ou détenant une participation aucapital d’une valeur au moins égale à un million de dinars,sans être membre ou membres au conseil d’ administration,peuvent poser au conseil d’administration, au moins deuxfois par année, des questions écrites au sujet de tout acte oufait susceptible de mettre en péril les intérêts de la société.le conseil d’administration doit répondre par écrit dansle mois qui suit la réception de la question. une copie de laquestion et de la réponse sont obligatoirementcommuniquées au commissaire aux comptes. cesdocuments sont mis à la disposition des actionnaires àl’occasion de la première assemblée générale suivante.",Not Zone
9,13522,"article 19. — les installations classées sont soumises,selon leur importance et les dangers ou inconvénients queleur exploitation génère, à autorisation du ministre chargéde l’environnement et du ministre concerné lorsque cetteautorisation est prévue par la législation en vigueur, duwali ou du président de l’assemblée populaire communale.les installations dont l’implantation ne nécessite niétude d’impact ni notice d’impact, sont soumises àdéclaration auprès du président de l’assemblée populairecommunale concernée. les modalités d’application du présent article sontfixées par voie règlementaire.",Not Zone
10,14248,"article 6 la demande fait l'objet d'une instruction administrative conduite par le service gestionnaire du domaine public maritimequi consulte les administrations civiles, notamment le directeur des affaires maritimes, ainsi que les autorités militairesintéressées.le service gestionnaire du domaine public maritime recueille l'avis du directeur des services fiscaux qui est chargé defixer les conditions financières de la concession.le cas échéant, le projet est soumis à l'avis de la commission nautique locale ou de la grande commission nautique.l'avis du préfet maritime est joint au dossier soumis à consultation.le projet est soumis pour avis aux communes et établissements publics de coopération intercommunale territorialementintéressés et aux communes et établissements publics de coopération intercommunale dans le ressort desquels, au vudes éléments du dossier, l'opération paraît de nature à faire sentir ses effets de façon notable.l'absence de réponse dans le délai de deux mois vaut avis favorable.a l'issue de l'instruction administrative, le service gestionnaire du domaine public maritime transmet le dossier au préfetavec sa proposition et, si le projet paraît pouvoir être accepté, un projet de convention.",Not Zone
11,2197,"article lp 6 a l'issue du titre d'occupation, les ouvrages, constructions et installations de caractère immobilier existantsur la dépendance domaniale occupée doivent être démolis soit par le titulaire de l'autorisation, soit à sesfrais, à moins que leur maintien en l'état n'ait été prévu expressément par le titre d'occupation ou quel'autorité compétente ne renonce en tout ou partie à leur démolition.les ouvrages, constructions et installations de caractère immobilier dont le maintien à l'issue du titred'occupation a été accepté deviennent de plein droit et gratuitement la propriété de la collectivité propriétairedu domaine occupé, francs et quittes de tous privilèges et hypothèques.toutefois, en cas de retrait de l'autorisation avant le terme prévu, pour un motif autre que l'inexécution deses clauses et conditions, le titulaire est indemnisé du préjudice direct, matériel et certain né de l'évictionanticipée. les règles de détermination de l'indemnité peuvent être précisées dans le titre d'occupation. lesdroits des créanciers régulièrement inscrits à la date du retrait anticipé sont reportés sur cette indemnité.loi du pays n° 2007-2 du 13 février 2007mise à jour le 18/09/2012 source : www.juridoc. gouv.nc - droits réservés de reproduction et réutilisation des donnéesdeux mois au moins avant la notification d'un retrait pour inexécution des clauses et conditions del'autorisation, les créanciers régulièrement inscrits sont informés des intentions de l'autorité compétente àtoutes fins utiles et, notamment, pour être mis en mesure de proposer la substitution d'un tiers aupermissionnaire défaillant.",Not Zone
12,22,"article 49. — les eaux superficielles ou souterraines, les cours d'eau, lacs et étangs, les eaux littorales ainsi quel'ensemble des milieux aquatiques font l'objet d'uninventaire établissant leur degré de pollution.des documents particuliers sont établis pour chacune deces eaux d'après des critières physiques, chimiques,biologiques et bactériologiques pour déterminer l'état dechacune d'elles. la règlementation définit :- la procédure d'établissement des documents et del'inventaire cités à l'alinéa ci-dessus, ainsi que lesmodalités et délais de contrôle :- les spécifications techniques et les critières physiques,chimiques, biologiques et bactériologiques auxquels lescours d'eaux, sections de cours d'eau, lacs et étangs et leseaux littorales et souterraines doivent répondre ;- les objectifs de qualité qui leur sont fixés ;- les mesures de protection ou de regénération quidoivent être engagées pour lutter contre les pollutionsconstatées.",Not Zone
13,19995,"article 31. - dénonciation un etat membre peut dénoncer la présente charte, par voie de notification écrite adressée au secrétairegénéral de l'organisation de l'unité africaine, etindiquer les motifs de la dénonciation. la dénonciation prend effet un an après la date de réception de lanotification, à moins qu'elle ne prévoie une date ultérieure.",Not Zone
14,13104,"article 18.- (1) sur convocation de son président, le conseil d'administration se réunit obligatoirement au moins deux (02) fois par an en session ordinairedont :- une (01) session consacrée à l'examen du projet de performance et àl'adoption du budget, qui se tient avant le début de l'exercicebudgétaire suivant ;- une (01) session consacrée à l'arrêt des comptes, qui se tient au plustard le 20 juin.(2) le conseil d'administration peut être convoqué en sessionextraordinaire sur un ordre du jour précis, a la demande de son président oudes deux tiers (2/3) de ses membres.(3) le président du conseil d’administration est défaillant lorsqu'ilne convoque pas au moins deux (02) sessions du conseil d'administration paran.(4) en cas de refus de convoquer une session du conseilconformément à l'alinéa 1 ci-dessus, les- deux tiers (2/3) des membressaisissent le ministre chargé des finances qui convoque le conseil sur un ordredu jour déterminé.",Not Zone
15,247,"article 5. $ 1%. afin de garantir l'examen continu de l'influence des activités d'exploration et d'exploitation sur les dépôts de sédiments et sur le milieu marin et son développement durable, enparticulier par la coordination, la réorientation et la transparence de l'examen scientifique, uneredevance est due annuellement au fonds pour l'extraction de sable et au propre patrimoine du centrede recherches agronomiques, département de la pêche maritime, pour l'exploration et l'exploitation desable d'une part et de gravier d'autre part.$ 2. la redevance pour chaque type de matériau équivaut au produit d'un montant fixe par mètre cubeexploité et d'un coefficient d'adaptation.les montants fixes sont respectivement de 0,54 eur/m° pour le sable et de 1,14 eur/m° pour legravier et de 0,35 eur/m° pour le sable provenant de la zone de contrôle 3 conformément à l'annexede l'arrêté royal du 1° septembre 2004 relatif aux conditions, à la délimitation géographique et à laprocédure d'octroi des concessions d'exploration et d'exploitation des ressources minérales et autresressources non vivantes de la mer territoriale et du plateau continental.la redevance accordée au fonds pour l'extraction de sable conformément à l'article 29, $ 2, de l'arrêtéroyal du 1” septembre 2004 relatif aux conditions, à la délimitation géographique et à la procédured'octroi des concessions d'exploration et d'exploitation des ressources minérales et autres ressourcesnon vivantes de la mer territoriale et du plateau continental, est répartie comme suit entre les partiescontractantes :- 3/5 pour le fonds pour l'extraction de sable:- 2/5 pour le département de la pêche maritime.$ 3. le coefficient d'adaptation est revu chaque année et est déterminé sur la base de la moyenneannuelle de l'indice nace 10-14 pour la production dans les industries extractives par jour ouvré.les deux parties contractantes perçoivent chaque année la redevance annuelle minimale à concurrencede 6.197,34 eur.",Not Zone
16,7135,"article premier - le préavis d'accostage comporte notamment les indications suivantes :1- indications relatives au navire :- le nom du navire, son pavillon, son port d'attache,son numéro ou ses lettres distinctives et le numéro quilui est attribué par l'organisation maritimeinternationale,- les caractéristiques principales du navire : jaugebrute, port en lourd, longueur, largeur, tirant d'eau àl'accostage, tirant d'air, nombre et capacité desapparaux de levage,- le port de provenance et le port de destination,- la date et l'heure d'accostage du navire,- la date et l'heure du départ du navire,- la nature et le tonnage de la cargaison à débarquerou à embarquer,- la liste des passagers et véhicules à débarquer,- l'appellation technique exacte, le tonnage et lesnuméros de l'organisation des nations umiescorrespondant aux marchandises dangereuses setrouvant à bord du navire à débarquer au port ou- les noms des membres de l'équipage, leursnationalités et la liste de leurs armes et munitions,- l'état de santé des membres de l'équipage et despassagers,-le nom de l'armateur du navire,- le nom du consignataire de navire et son adresse,- le nom de l'entrepreneur de manutention.2- indications relatives à la sûreté du navire serapportant :- au certificat international de sûreté en cours devalidité comportant le nom de l'autorité l'ayant délivré,- au niveau de sûreté auquel le navire estactuellement exploité,- au niveau de sûreté auquel le navire a été exploitédans chacun des dix derniers ports où il a fait escale,ou s'est livré à une activité d'interface navire/port,- aux mesures de sûreté spéciales ou additionnellesqui ont été prises par le navire dans chacun des dixderniers ports où il a fait escale ou s'est livré à uneactivité d'interface navire /port,- au maintien des procédures appropriées de sûretédu navire pendant toute activité de navire à navire aucours de la période couvrant les dix derniers ports oùil a fait escale ou tout autre renseignement pratiquerelatif à la sûreté du navire à l'exception desrenseignements détaillés concernant le plan de sûretédu navire, compte tenu des recommandationsénoncées dans la partie ""b"" du code international pourla sûreté des navires et des installations portuaires.",Not Zone
17,11434,"article 47: sont habilités à constater les infractions aux dispositions de la présente ordonnance et de ses règlements d’application, outre les personnes ayant qualitéd'officiers ou d’agent ce police judiciaire :- les chefs des services régionaux du ministère de l'environnement ;- les inspecteurs du ministère chargé de l'environnement chargés de la policeenvironnementale :- le personnel habilité à constater les infractions aux lois portant code del’environnement, code des pêches maritimes, code de la marine marchande,code minier;- tous les agents de la direction chargée du littoral au ministere del’environnement ;- et toute autre personne dûment mandatée par le ministre chargé del’environnement.les personnes précitées doivent être assermentées.",Not Zone
18,685,"article 4: conformément aux dispositions des conventions maritimes internationales, les opérations de prestations deservices ci-dessus sont obligatoires pour les navires, lesembarcations, les vedettes de plaisance qui entreprennent unenavigation maritime dans les eaux territoriales, les estuaires etrades de la république de guinée.",Not Zone
19,607,"article 20 |. - l'article l. 2334-7 du code général des collectivités territoriales est complété par un 5° ainsi rédigé : 5° une dotation versée aux communes dont le territoire est pour tout ou partie compris dans le coeur d'un parcnational. elle est fonction de la part de la superficie de la commune comprise dans ce coeur, cette part étantdoublée pour le calcul de la dotation lorsque cette superficie dépasse 5 000 kilomètres carrés. elle évolue chaqueannée comme la dotation globale de fonctionnement. il. - le montant initial de la dotation prévue au 5° de l'article l. 2334-7 du code général des collectivitesterritoriales est fixé par la loi de finances pour 2007.",Not Zone
